"monthly","name","cap_new_tests","cap_new_cases","cap_new_deaths"
"2021-04","Saudi Arabia",1.67567357959442,0.0248032400758316,0.000262346565557917
"2021-05","Saudi Arabia",2.07996968220052,0.0303733944631099,0.000369706662317903
"2021-06","Saudi Arabia",2.53169031615634,0.0347781543823366,0.000436605963118286
"2021-07","Saudi Arabia",2.86236812405836,0.0353167153740523,0.000390091490816635
"2021-08","Saudi Arabia",2.39336232920757,0.019884473617399,0.000284461015868662
"2021-09","Saudi Arabia",1.42366768158404,0.0038499837230233,0.000188621435820838
"2021-10","Saudi Arabia",1.3592455389656,0.00139821391839027,7.69063984270325e-05
"2021-11","Saudi Arabia",1.08514678003102,0.00115087799927232,4.02137071293158e-05
"2021-12","Saudi Arabia",1.49341106747934,0.00411217585806229,3.42835752024121e-05
"2022-01","Saudi Arabia",4.13851120331643,0.111906222376241,5.46684037011436e-05
"2022-02","Saudi Arabia",3.15293006097711,0.0700272468382999,6.77067517993582e-05
"2022-03","Saudi Arabia",0.908330352824318,0.00680204663678127,4.35494063381991e-05
"2022-04","Saudi Arabia",0.360405775454319,0.00313451485034756,3.71019321728806e-05
"2020-03","Senegal",0.00213896409548583,0.00030082638778291,0
"2020-04","Senegal",0.0164874980092371,0.0012123745819398,1.39353400222965e-05
"2020-05","Senegal",0.0589541944731286,0.00503598785506219,5.20167069956691e-05
"2020-06","Senegal",0.0700310559006211,0.00618330944417901,0.000127408823060997
"2020-07","Senegal",0.0684848111215573,0.00656373780497203,0.00018109520213307
"2020-08","Senegal",0.0714786615908636,0.00672942064947675,0.000154123576283464
"2020-09","Senegal",0.0601867335562988,0.00305980251632426,5.97228858098423e-05
"2020-10","Senegal",0.074366552101475,0.00131583003252007,2.31185364425196e-05
"2020-11","Senegal",0.0458691670648192,0.000820194298455168,7.96305144131231e-06
"2020-12","Senegal",0.0750157976665691,0.00527102630889447,0.000121372316323228
"2021-01","Senegal",0.101814034492856,0.0134183838601791,0.000410354021854723
